,status_group
3607,functional
50870,functional
20413,non functional
52806,non functional
50091,non functional
16521,functional
52225,functional
9440,functional
41885,non functional
54042,functional
2732,non functional
36783,functional
23198,non functional
2624,non functional
35833,non functional
22823,functional needs repair
22921,functional
20357,non functional
35940,functional
18591,functional
8850,functional
35806,functional
26971,functional
20066,non functional
54408,non functional
19553,non functional
5354,functional
15879,functional
38499,functional
31196,functional
17252,non functional
35979,functional
45688,non functional
28294,non functional
41138,non functional
50968,non functional
8322,functional
9750,functional
37087,functional
2211,functional
29775,non functional
51371,functional needs repair
7519,functional
20210,non functional
25910,non functional
41673,functional
57763,non functional
42109,non functional
33664,functional
32654,non functional
42858,functional
56369,non functional
22922,non functional
28608,functional
7544,non functional
13883,non functional
7153,functional
52513,functional
22589,non functional
17224,functional
29365,functional
13868,non functional
33277,functional
31375,functional
56498,non functional
5553,functional
28619,functional
24632,non functional
407,functional
50230,non functional
39889,non functional
40922,functional
23734,functional
2284,functional needs repair
51338,non functional
45424,non functional
53683,functional
34154,non functional
27972,functional
47734,functional
22697,non functional
1417,non functional
37730,functional
46475,functional
39834,functional
10602,functional needs repair
11107,functional
52421,non functional
28641,functional
8647,functional
24097,functional
39057,functional
3481,functional
55802,non functional
46261,functional
52925,functional
8582,functional
50102,non functional
14343,functional
26782,functional
20154,functional
55036,functional
45054,non functional
21616,functional
57673,functional
37717,functional
57797,non functional
21131,non functional
57833,non functional
17063,functional
42345,functional
12789,non functional
8224,non functional
44919,non functional
43888,non functional
47369,non functional
27714,functional
6215,functional
10026,functional
8093,functional
3351,functional
17372,non functional
9240,functional
34887,non functional
30245,non functional
14972,non functional
44142,functional
28420,functional
7441,non functional
42141,non functional
48427,functional
34023,functional
19709,non functional
26773,functional
55005,functional
5186,functional
55329,functional
18421,functional
42780,functional needs repair
12353,functional
42067,non functional
34423,functional
13762,functional needs repair
2401,non functional
20109,functional
38603,functional
47652,functional
8976,functional
267,functional
10814,functional
3108,functional
8883,functional
35363,functional
37773,non functional
29597,functional needs repair
862,non functional
57532,functional
474,functional
54594,functional
30145,functional
33605,functional
32785,non functional
4867,non functional
22493,functional
6981,functional
23073,functional
5746,functional
214,functional needs repair
54525,non functional
712,functional needs repair
58864,functional
21166,functional
49324,non functional
25949,functional
1131,functional
16022,functional
55278,non functional
49513,non functional
44860,non functional
7963,functional
24567,functional
5245,functional
17860,non functional
25562,functional
40773,functional
9803,non functional
38212,functional needs repair
6882,functional
25454,non functional
6810,functional
18923,non functional
57100,non functional
5304,non functional
34444,non functional
41719,functional
8808,non functional
26225,non functional
24745,non functional
35692,non functional
37837,functional
46667,non functional
6261,non functional
27824,non functional
8345,functional
28376,functional
38922,functional
41539,functional
7635,functional needs repair
36831,functional
35657,functional
25732,functional
16726,non functional
27390,functional
17819,functional
15318,functional
54248,non functional
3049,non functional
6217,functional needs repair
26786,functional
49,functional
16776,functional
31869,functional
29274,functional
23975,functional
6529,non functional
34282,non functional
45370,functional
19421,functional needs repair
34327,non functional
8022,non functional
2943,non functional
2337,functional needs repair
20376,non functional
16140,functional needs repair
45801,non functional
40778,functional needs repair
38775,functional
49730,functional
45297,non functional
13443,functional
22417,functional
28660,functional
50858,functional
59135,functional
8365,functional
31073,non functional
53918,functional
28961,functional
34689,non functional
43911,functional
419,functional
27150,non functional
54669,functional needs repair
5794,functional needs repair
12894,functional needs repair
14488,functional
58004,functional
56683,functional
18954,functional
38438,functional
22167,functional
14286,functional
11732,functional
20966,functional needs repair
39285,functional
2020,non functional
3027,functional
42401,non functional
50607,functional
3243,non functional
35304,functional
29580,non functional
45402,non functional
20718,functional
54233,functional
43637,functional
49764,functional
43073,functional
20589,functional
4082,functional needs repair
14653,non functional
27171,non functional
58244,functional
29147,functional
44955,functional
34705,non functional
36825,non functional
9326,functional needs repair
22806,functional
32944,functional
28848,non functional
7142,functional
43176,functional
17549,functional
59272,functional
39497,functional
24109,non functional
29468,functional
18780,functional
3663,functional
9744,functional
28929,functional
30551,functional
44954,non functional
8344,functional
56864,non functional
6113,functional
50346,functional
40472,functional
39240,non functional
28819,functional
29620,non functional
26881,non functional
12335,functional
13542,functional
25303,functional
24352,functional
51144,non functional
10280,functional
40064,functional
1952,functional
17345,functional
58088,functional
2086,non functional
26138,functional
11749,non functional
6143,functional
49715,functional
54859,non functional
39569,non functional
22877,functional
39671,non functional
50297,functional
45192,non functional
48009,functional
5987,functional
19155,non functional
38816,non functional
3643,functional
50597,functional
7247,non functional
46235,functional
54005,non functional
20610,functional
51853,functional
11153,functional
50484,non functional
22281,non functional
30055,non functional
58454,functional
1057,non functional
27450,non functional
6923,non functional
11872,non functional
16620,functional
23716,functional
2799,functional needs repair
12153,non functional
21138,non functional
13019,non functional
37942,functional
32048,non functional
29871,functional
52859,functional needs repair
53784,non functional
33624,functional
22655,functional
10325,functional
52848,functional
11980,functional
20438,non functional
5579,non functional
7540,non functional
44232,functional
31793,functional
37411,non functional
15132,non functional
25413,functional
57348,functional
56579,functional
34613,non functional
38320,functional
23540,functional
49540,functional
1668,functional
10653,non functional
47125,functional
52324,non functional
38715,non functional
40380,functional
12407,functional
20685,non functional
55246,functional
46018,functional
26830,functional
4919,functional
6016,functional
11702,non functional
29897,functional
1032,non functional
17525,functional
51449,non functional
21600,functional
3777,functional
37111,functional
39550,non functional
43044,functional
6244,non functional
56019,non functional
3486,non functional
36301,non functional
2480,non functional
15039,functional
13683,functional
29220,non functional
354,functional needs repair
15851,non functional
21714,non functional
29983,functional
36216,non functional
34973,non functional
23011,functional needs repair
22275,non functional
12781,functional
41780,functional
38475,functional
25113,non functional
25776,non functional
15364,functional
23298,functional needs repair
59371,non functional
57313,functional
58532,functional
57359,functional
51282,functional
28829,non functional
50030,functional
59175,non functional
22917,non functional
17239,functional
12553,functional
28284,functional needs repair
9992,non functional
50254,non functional
12608,non functional
23738,functional
17607,functional
23101,non functional
8225,functional needs repair
48989,functional
49299,functional
34338,functional
47786,functional
59300,functional
50160,functional needs repair
41358,non functional
29285,non functional
14109,non functional
30731,non functional
14111,non functional
39318,functional
33745,functional
53313,non functional
24261,functional
55829,non functional
13151,functional
47180,functional
51232,non functional
40979,functional
3028,functional
48352,functional
35207,functional
10772,non functional
36381,functional
34680,functional
10192,non functional
25687,non functional
40579,non functional
48734,non functional
5473,functional
51462,non functional
59252,non functional
31710,functional
43294,functional
27226,functional
51398,functional
22295,non functional
11521,non functional
22858,functional
32796,functional needs repair
19671,functional
4542,functional
39248,non functional
56844,functional
35072,non functional
45577,functional needs repair
27162,non functional
26137,functional
16045,functional
51429,functional
36029,non functional
24516,functional
34236,functional
33884,non functional
59186,non functional
58408,non functional
26176,functional
3169,functional
53842,functional needs repair
6308,functional
24670,functional
9005,functional
17961,functional
32588,functional
26658,functional
10210,non functional
17128,non functional
23568,functional
14804,non functional
1418,non functional
45019,functional
32797,non functional
37216,functional
35621,non functional
52686,functional
52138,non functional
29020,non functional
48012,functional
51540,non functional
45604,functional
4831,functional
52514,non functional
10755,non functional
39478,non functional
57307,functional
40043,functional
28073,non functional
19962,functional
31592,non functional
22946,functional
6501,functional
1487,functional
34125,functional
21335,functional
6354,non functional
49804,functional
26967,functional
5418,functional
36983,non functional
35938,functional
55194,functional
4336,functional needs repair
48397,functional
48663,functional
37501,non functional
31766,functional
39977,functional
28995,non functional
18896,non functional
51303,functional
41417,non functional
40946,functional
24416,functional
13022,non functional
33532,non functional
21908,non functional
46543,functional
43970,non functional
38036,functional
1190,functional
9026,functional
43704,functional
37540,functional
54191,non functional
3912,functional
35936,functional
6043,non functional
14188,functional
46229,functional
44807,non functional
5881,functional
56750,functional
53952,non functional
40003,functional
33644,functional
58488,non functional
42116,functional
9053,non functional
9225,non functional
38496,functional
32631,non functional
34989,functional
1594,non functional
11638,functional
53100,functional
13451,functional
27432,functional
48923,functional needs repair
2181,non functional
24759,non functional
19886,non functional
57462,functional
12027,non functional
19353,functional
4530,functional
33811,functional
7359,functional needs repair
7030,functional
33955,functional needs repair
23516,functional
53109,functional
45134,functional
31338,non functional
24381,functional needs repair
45197,functional
21764,functional needs repair
58445,non functional
55100,functional
28606,non functional
53681,functional
24247,functional
28292,functional needs repair
4726,non functional
27905,non functional
29995,functional needs repair
50036,functional
51549,non functional
27325,functional
14237,functional
12969,non functional
56347,functional
6467,functional
6755,functional
17155,non functional
51163,functional needs repair
52950,non functional
42334,non functional
20766,non functional
25171,functional
42449,functional
11813,functional
36692,functional
32144,functional
27329,functional
9381,functional
35088,functional needs repair
49579,non functional
41188,functional needs repair
38779,functional
54678,functional
4538,non functional
29464,functional
37787,functional
19027,functional
46593,functional
5645,functional
44926,non functional
38306,non functional
51896,functional
9207,non functional
2916,functional
7596,functional
11380,functional
31175,functional needs repair
4928,functional
45137,functional needs repair
29914,functional
23339,functional
55659,non functional
49647,functional
23001,non functional
36340,non functional
56773,non functional
48569,functional needs repair
40470,non functional
26316,functional
16358,functional needs repair
34576,functional
2987,non functional
52,functional
54379,functional
25134,non functional
24393,non functional
27519,non functional
58364,functional
52875,functional
25267,functional
51442,functional needs repair
22775,functional
54789,functional
22430,functional
56507,functional
49614,functional needs repair
37020,non functional
58482,functional
33669,functional
35542,non functional
42472,functional
16931,non functional
21270,functional
18094,functional needs repair
34368,non functional
57110,non functional
5236,functional
18187,functional needs repair
43138,functional
1413,non functional
44218,non functional
35927,functional
48728,non functional
14477,functional
53178,functional
12340,functional
17537,functional
46744,functional
31479,non functional
40638,non functional
53697,functional
31082,functional
46629,functional
8569,non functional
2161,non functional
46606,functional
9813,functional
55037,functional
56437,non functional
2404,functional
11487,functional
23585,functional
14967,non functional
48445,functional
56468,functional
35265,functional
47179,functional
3624,functional needs repair
30305,functional
33928,non functional
42019,functional
13290,functional
1784,functional
37539,functional needs repair
57792,functional
31756,functional
42030,functional
26438,functional
2627,functional
54650,non functional
39755,non functional
37765,non functional
47841,functional needs repair
38337,non functional
13267,functional
27395,functional needs repair
9625,non functional
15020,functional
12892,non functional
56535,functional
23872,non functional
18696,functional needs repair
2178,functional
14731,non functional
30120,non functional
21992,non functional
17133,non functional
1851,functional needs repair
39135,functional
11897,functional needs repair
51672,functional
24010,functional
53556,non functional
22965,functional
14951,functional
41933,non functional
26540,functional
52351,non functional
33424,functional
50819,non functional
21595,functional
19505,non functional
33465,functional
37095,functional
516,functional
3705,functional
52486,functional
13904,functional
54828,functional
15035,functional
47702,non functional
41557,functional
3859,non functional
14811,non functional
22548,non functional
47075,functional
4116,functional
19568,functional
58493,functional
37511,non functional
45832,non functional
4550,functional needs repair
13797,functional
38959,functional
34412,non functional
27884,functional needs repair
53403,functional
53732,functional
54541,functional
33135,functional needs repair
17999,functional
30871,functional
25889,non functional
51850,non functional
51636,non functional
1516,non functional
42009,functional
18138,functional needs repair
15433,functional
34165,functional
1289,functional
16954,functional
45474,non functional
45555,non functional
34793,non functional
48825,functional
1976,functional
12169,non functional
27616,functional
25853,non functional
38449,functional
6235,functional
18219,functional
53112,functional needs repair
15219,functional
53130,functional
24790,functional
46968,non functional
4456,functional
42877,functional
18596,functional
657,functional
41309,non functional
38766,non functional
11505,functional
50311,functional
40398,functional
36742,functional
5388,non functional
47366,non functional
34243,functional
3257,functional
27753,functional
43673,functional
51708,non functional
24190,functional needs repair
18963,non functional
30520,non functional
47137,non functional
6186,functional
4779,non functional
26680,functional
48042,non functional
8920,functional
10318,functional
28217,functional
38,functional
17557,non functional
16416,non functional
33842,functional
13946,functional needs repair
10955,non functional
22141,functional
50716,functional
29099,functional
50557,functional
43087,non functional
20450,functional
56805,functional
25894,non functional
14304,functional
20314,non functional
7460,functional
29325,non functional
6567,non functional
7895,functional
29868,functional
20992,functional
43247,functional
75,non functional
46411,functional
316,functional
25492,functional
27067,non functional
26458,non functional
42611,functional
49202,functional needs repair
1841,non functional
57131,functional
2386,non functional
34344,functional needs repair
14668,functional
43163,non functional
36399,functional needs repair
12372,functional
17287,functional
3349,functional
57000,functional
16677,functional needs repair
4911,functional
17967,non functional
13623,functional
22140,functional
36239,functional
47364,non functional
52229,functional
15177,functional
10644,functional
37269,non functional
12345,functional
742,functional needs repair
47555,non functional
40536,non functional
10104,functional
18491,functional
43755,functional
59026,functional
37936,non functional
21769,functional
55938,functional
38548,functional
54091,non functional
51503,functional
48838,functional
23175,functional
30536,non functional
344,functional
32941,functional
15639,non functional
23859,functional
24443,functional
57850,non functional
19223,non functional
18647,non functional
52440,non functional
15807,non functional
49641,non functional
45334,functional
49084,functional
11347,non functional
3795,non functional
1458,non functional
32379,functional
55468,non functional
42772,functional
4623,non functional
6231,non functional
13124,non functional
4845,non functional
48573,functional
28863,functional
33914,functional
48898,non functional
13757,functional
52120,non functional
46262,functional
16823,functional
58089,functional
17542,non functional
54106,functional
42412,non functional
25633,non functional
31544,functional needs repair
8746,non functional
7518,non functional
57702,functional
51048,functional
42221,functional
20433,functional
36139,functional
16745,functional
1796,non functional
22087,non functional
50792,functional
6361,functional
11438,non functional
29687,non functional
42421,non functional
6350,non functional
37490,functional needs repair
47032,non functional
45218,functional
3612,functional
30616,non functional
816,non functional
50235,functional
17724,non functional
20060,functional needs repair
40848,non functional
32605,non functional
6224,functional needs repair
58267,functional
51977,functional needs repair
12932,functional
44144,functional
49539,functional needs repair
56799,functional
24960,functional
17624,functional
54799,functional
4291,functional
41866,non functional
45502,functional
48121,functional needs repair
6465,functional
32461,non functional
28193,functional
39371,functional
25726,functional
32086,non functional
21628,functional
32388,functional
45919,functional
58400,functional
6079,functional needs repair
40265,functional needs repair
32392,non functional
24037,functional
48577,functional
48888,functional
11570,functional
56076,functional
18216,functional needs repair
31962,non functional
41784,functional
43035,functional
29586,functional
45843,functional
28353,functional
15110,functional
55703,functional
2906,functional
9811,non functional
48233,non functional
42893,functional needs repair
36896,non functional
17220,functional
35957,functional
32751,non functional
32645,functional
58925,functional
11220,functional needs repair
56383,functional
46119,non functional
46357,functional
24341,functional
38542,functional
37604,functional
21744,functional
50520,functional needs repair
8807,functional
6250,functional
48158,functional needs repair
14032,non functional
54518,non functional
42704,functional
51579,non functional
27988,non functional
41278,functional
52186,non functional
33819,non functional
33233,functional
20544,functional
10743,non functional
27006,functional
791,functional
21603,non functional
13431,non functional
46463,non functional
4988,non functional
35182,functional
23480,functional
46248,functional
39547,non functional
28836,functional needs repair
55368,non functional
14049,functional
28375,functional
16079,non functional
51512,functional
12949,functional
39106,functional
30986,functional
39546,non functional
53901,non functional
6807,functional
49008,non functional
42839,non functional
24695,non functional
24139,non functional
37935,functional
8023,functional
3434,functional
45073,functional
24692,non functional
1107,non functional
56551,non functional
22982,functional
6824,non functional
4882,functional
17136,non functional
8821,functional
6179,functional
55294,functional
22753,non functional
20385,functional needs repair
2146,functional
39413,non functional
38628,functional
11472,functional
18087,functional
54469,non functional
52909,functional
52250,functional
23276,functional needs repair
29864,functional
24296,functional
27958,functional
10783,functional
52300,functional
17656,functional
51726,functional
48036,functional
52244,functional
38945,non functional
16853,non functional
39636,non functional
45180,functional
27842,non functional
25085,functional
5165,functional
48952,functional
1675,non functional
40026,non functional
41511,functional
35372,non functional
27403,non functional
26482,non functional
4707,functional
2585,non functional
6835,non functional
50620,functional
38446,functional
14500,functional
41795,functional
28823,functional
44830,non functional
42154,functional
35225,non functional
29688,functional needs repair
30097,non functional
22964,functional
15107,functional
55091,functional needs repair
18010,functional
30379,non functional
33249,functional
16781,non functional
42024,non functional
349,functional
49591,non functional
4277,non functional
40599,non functional
5121,non functional
6017,non functional
56287,functional
53481,functional
21436,functional
1034,non functional
233,non functional
57306,functional
35469,functional
10823,functional
23592,functional
28269,functional needs repair
26286,functional
37698,functional
579,functional
42379,non functional
27367,non functional
15081,non functional
40743,functional
1331,functional
39845,functional
26896,functional
31069,functional
4293,non functional
36055,non functional
24753,functional
14009,functional
51479,non functional
11034,non functional
630,functional
38171,functional
51799,functional
12830,functional
5042,non functional
30999,functional needs repair
34979,functional
15387,functional
22924,functional
43990,functional
48778,functional needs repair
24128,functional
9378,non functional
50998,non functional
32935,non functional
6367,functional
13976,functional
56470,functional
34702,functional
52303,non functional
8410,functional
7003,functional
55460,non functional
43545,functional
5172,functional
19536,functional
26257,functional
59344,functional
28509,functional
32279,non functional
45709,functional
16000,functional
33930,functional needs repair
18511,functional
5382,non functional
10822,functional
43666,functional
27695,functional
45674,functional
36969,non functional
23679,non functional
21674,functional
5545,non functional
2635,functional
16577,functional
40365,non functional
41177,non functional
33315,functional
20186,non functional
13297,functional
25915,functional
23166,non functional
15599,functional
33460,functional
17363,non functional
15766,functional
4222,non functional
40723,functional
35138,functional
5170,non functional
7525,functional
26233,functional
9253,functional
51162,functional
14311,non functional
20911,functional
11893,functional
21981,functional
52885,functional
28574,non functional
827,non functional
22381,non functional
46303,functional
29724,functional
32736,functional
53094,non functional
36275,non functional
37885,non functional
29706,functional
30489,non functional
58200,non functional
1396,functional
33259,functional needs repair
8402,non functional
59291,non functional
49070,functional
8869,non functional
28711,functional
57025,functional
43653,non functional
28142,functional
58078,non functional
4110,non functional
14753,functional
3151,functional
46423,non functional
44270,functional
43740,non functional
57294,non functional
52338,functional
32660,functional
32515,functional
8763,non functional
24202,non functional
24579,functional
29106,functional
24522,functional
40558,functional
55539,functional
52166,functional
41939,functional
35355,non functional
56706,non functional
